id,display_name,created_at,updated_at,is_showing,description
1,GOTS,2022-09-02 17:34:28,2022-10-30 11:04:04,1,Global Organic Textile Standard
2,certificate 1,2022-09-07 10:16:37,2022-10-30 08:54:11,0,Testing 1
3,certification 2,2022-09-07 10:17:13,2022-10-30 08:54:14,0,
4,certification 3,2022-09-07 10:18:48,2022-10-30 08:54:18,0,Testing 3
5,OCS,2022-10-30 10:59:48,2022-10-30 10:59:48,1,Organic Content Standard (OCS)
6,LEED,2022-10-30 11:02:31,2022-10-30 11:02:31,1,Leadership in Energy and Environmental Design
7,FWF,2022-10-30 11:02:55,2022-10-30 11:02:55,1,Fair Wear Foundation
8,RWS,2022-10-30 11:03:18,2022-10-30 11:03:18,1,Responsible Wool Standard
9,ISO 9001,2022-10-30 11:04:31,2022-10-30 11:10:35,1,International Organization for Standardization
10,ECO PASSPORT by OEKO-TEX,2022-10-30 11:04:53,2022-10-30 11:04:53,1,ECO PASSPORT by OEKO-TEX
11,SA8000,2022-10-30 11:05:06,2022-10-30 11:05:06,1,SA8000
12,WRAP,2022-10-30 11:05:28,2022-10-30 11:05:28,1,Worldwide Responsible Apparel Production
